date,value
2015-10-07T08:00:00,0
2015-10-07T09:00:00,12
2015-10-07T10:00:00,3
2015-10-07T11:00:00,5
2015-10-07T12:00:00,6
2015-10-07T13:00:00,7
2015-10-07T14:00:00,22
2015-10-07T15:00:00,24
2015-10-07T16:00:00,22
2015-10-07T17:00:00,22
2015-10-07T18:00:00,16
2015-10-07T19:00:00,8
2015-10-07T20:00:00,4
2015-10-07T21:00:00,0
2015-10-07T22:00:00,0
2015-10-07T23:00:00,0
2015-10-07T24:00:00,0
2015-10-08T00:00:00,0
2015-10-08T01:00:00,0
2015-10-08T02:00:00,0
2015-10-08T03:00:00,0
2015-10-08T04:00:00,0
2015-10-08T05:00:00,0
2015-10-08T06:00:00,0
2015-10-08T07:00:00,0
2015-10-08T08:00:00,0
2015-10-08T09:00:00,12
2015-10-08T10:00:00,3
2015-10-08T11:00:00,5
2015-10-08T12:00:00,6
2015-10-08T13:00:00,7
2015-10-08T14:00:00,22
2015-10-08T15:00:00,24
2015-10-08T16:00:00,22
2015-10-08T17:00:00,22
2015-10-08T18:00:00,16
2015-10-08T19:00:00,8
2015-10-08T20:00:00,4
2015-10-08T21:00:00,0
